Gender,Age,Maritalstatus,Academic_degree,Years_Experience,Years_experience_lastorganization,Sector,Department,JobTitle,MonthlySalary,Allowances,MedicalInsurance,Bonus,OverTime,Payment_Overtime,Rewards_Wages_Satisfaction,Get_Deserved_Promotion,Training_programs_During_last_three_years,Useful_Training_Programs,Business_Travel,Job_Support,Recognition,Emotional_Commitment,Job_Engagement,Distance_to_work,Work_Live_Balance,Physical_Stress,Psychological_Exhaustion,Job_Stability,Health_Issues,Environment_Satisfaction,Job_Satisfaction,Job_Opportunities,Attrition
0.0,1.0,0.4472088227382767,0.0,0.0,0.0,0.5651866011647716,0.6003779812606473,0.6232770636518506,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,1
0.0,0.0,0.4059529449714223,1.0,0.0,0.0,0.5651866011647716,0.5553488857212391,0.2034558286687758,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0
1.0,0.0,0.4472088227382767,1.0,0.0,0.0,0.4567380973729042,0.5564735945485519,0.2949460533787621,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0
1.0,1.0,0.4472088227382767,1.0,1.0,0.0,0.5124929017603634,0.5564735945485519,0.6868662286038777,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1
0.0,0.0,0.4472088227382767,0.0,0.0,0.0,0.2608303362988201,0.3687130408412641,0.3290034071550255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1.0,0.0,0.4472088227382767,1.0,0.0,0.0,0.5651866011647716,0.3687130408412641,0.3290034071550255,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0
1.0,0.0,0.4472088227382767,1.0,0.0,0.0,0.5651866011647716,0.5564735945485519,0.4963900381276872,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,1
0.0,1.0,0.4059529449714223,1.0,2.0,0.0,0.2608303362988201,0.2293199502739537,0.1904496412162511,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1
1.0,1.0,0.4778534923339012,2.0,0.0,0.0,0.3592782301026135,0.5553488857212391,0.327141836566467,1.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1
0.0,2.0,0.4059529449714223,1.0,0.0,0.0,0.3592782301026135,0.3687130408412641,0.327141836566467,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1
1.0,2.0,0.4059529449714223,,,,,0.6003779812606473,0.6424190800681431,,0.0,0.0,,1.0,,0.0,,0.0,0.0,0.0,,0.0,2.0,2.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1
0.0,2.0,0.4059529449714223,1.0,2.0,2.0,0.2608303362988201,0.2293199502739537,0.1904496412162511,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0
1.0,1.0,0.4472088227382767,2.0,1.0,1.0,0.5651866011647716,0.5564735945485519,0.4963900381276872,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0
0.0,0.0,0.4472088227382767,1.0,0.0,0.0,0.5124929017603634,0.3687130408412641,0.327141836566467,0.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,1
0.0,1.0,0.4778534923339012,1.0,2.0,2.0,0.5651866011647716,0.5564735945485519,0.2445850571915308,2.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,0
1.0,1.0,0.4059529449714223,1.0,1.0,0.0,0.5651866011647716,0.5553488857212391,0.8018608308216486,2.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1
0.0,2.0,0.4059529449714223,1.0,2.0,2.0,0.2608303362988201,0.2293199502739537,0.1904496412162511,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0
1.0,0.0,0.4059529449714223,1.0,1.0,0.0,0.4567380973729042,0.5564735945485519,0.2949460533787621,1.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,1
1.0,1.0,0.4059529449714223,3.0,2.0,2.0,0.4567380973729042,0.5553488857212391,0.6848381601362862,3.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,0
1.0,0.0,0.4472088227382767,1.0,1.0,0.0,0.4567380973729042,0.3687130408412641,0.6480146769754948,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,1
0.0,0.0,0.4472088227382767,1.0,1.0,1.0,0.5124929017603634,0.5564735945485519,0.2693545334090479,1.0,2.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0
0.0,0.0,0.4472088227382767,1.0,0.0,0.0,0.3592782301026135,,0.3560477001703578,0.0,,0.0,,,1.0,,0.0,0.0,0.0,,,0.0,0.0,,2.0,2.0,2.0,2.0,0.0,0.0,,0.0,0.0,1
1.0,1.0,0.4059529449714223,2.0,1.0,,0.4567380973729042,0.5068458577828254,0.6424190800681431,,,1.0,,1.0,2.0,,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,,1.0,,,,0.0,1.0,1.0,1.0,0
